dat	word
0000001c_nohash_0.wav	world
00000003_nohash_0.wav	world
0000006e_nohash_0.wav	world
00000050_nohash_0.wav	world
00000038_nohash_0.wav	world
0000001b_nohash_0.wav	world
00000048_nohash_0.wav	world
00000032_nohash_0.wav	world
00000022_nohash_0.wav	world
00000077_nohash_0.wav	world
0000005d_nohash_0.wav	world
00000059_nohash_0.wav	world
0000000c_nohash_0.wav	world
0000006f_nohash_0.wav	world
00000063_nohash_0.wav	world
0000002e_nohash_0.wav	world
0000006c_nohash_0.wav	world
00000056_nohash_0.wav	world
00000051_nohash_0.wav	world
0000005b_nohash_0.wav	world
00000068_nohash_0.wav	world
0000007b_nohash_0.wav	world
00000083_nohash_0.wav	world
00000067_nohash_0.wav	world
00000049_nohash_0.wav	world
00000009_nohash_0.wav	world
0000003d_nohash_0.wav	world
0000002f_nohash_0.wav	world
00000070_nohash_0.wav	world
000000a5_nohash_0.wav	life
000000cd_nohash_0.wav	life
00000099_nohash_0.wav	life
000000c8_nohash_0.wav	life
000000a4_nohash_0.wav	life
000000df_nohash_0.wav	life
000000b2_nohash_0.wav	life
000000c0_nohash_0.wav	life
000000d3_nohash_0.wav	life
000000a2_nohash_0.wav	life
000000e4_nohash_0.wav	life
000000e7_nohash_0.wav	life
000000d2_nohash_0.wav	life
000000b9_nohash_0.wav	life
000000ac_nohash_0.wav	life
000000bf_nohash_0.wav	life
000000ef_nohash_0.wav	life
000000be_nohash_0.wav	life
000000c6_nohash_0.wav	life
000000c7_nohash_0.wav	life
00000094_nohash_0.wav	life
00000152_nohash_0.wav	their
00000227_nohash_0.wav	their
00000206_nohash_0.wav	their
000001e3_nohash_0.wav	their
000001fe_nohash_0.wav	their
000001b6_nohash_0.wav	their
000001aa_nohash_0.wav	their
00000117_nohash_0.wav	their
00000263_nohash_0.wav	their
0000021f_nohash_0.wav	their
000000f7_nohash_0.wav	their
000001ab_nohash_0.wav	their
00000179_nohash_0.wav	their
00000102_nohash_0.wav	their
000001b8_nohash_0.wav	their
00000236_nohash_0.wav	their
000000fc_nohash_0.wav	their
000000fb_nohash_0.wav	their
00000268_nohash_0.wav	their
00000133_nohash_0.wav	their
000001d6_nohash_0.wav	their
00000245_nohash_0.wav	their
000001c2_nohash_0.wav	their
000001ba_nohash_0.wav	their
0000021e_nohash_0.wav	their
000000f4_nohash_0.wav	their
0000026a_nohash_0.wav	their
00000228_nohash_0.wav	their
000001cb_nohash_0.wav	their
00000241_nohash_0.wav	their
00000137_nohash_0.wav	their
0000026c_nohash_0.wav	their
00000124_nohash_0.wav	their
000001a6_nohash_0.wav	their
00000110_nohash_0.wav	their
0000019f_nohash_0.wav	their
0000019a_nohash_0.wav	their
0000016b_nohash_0.wav	their
000001c7_nohash_0.wav	their
0000020c_nohash_0.wav	their
000001c6_nohash_0.wav	their
0000014d_nohash_0.wav	their
0000010a_nohash_0.wav	their
000001a5_nohash_0.wav	their
00000153_nohash_0.wav	their
00000126_nohash_0.wav	their
00000202_nohash_0.wav	their
00000168_nohash_0.wav	their
0000024c_nohash_0.wav	their
000000f2_nohash_0.wav	their
000001dc_nohash_0.wav	their
00000210_nohash_0.wav	their
00000261_nohash_0.wav	their
000001b1_nohash_0.wav	their
00000225_nohash_0.wav	their
00000130_nohash_0.wav	their
0000012d_nohash_0.wav	their
000001cd_nohash_0.wav	their
00000164_nohash_0.wav	their
00000100_nohash_0.wav	their
000001fc_nohash_0.wav	their
00000172_nohash_0.wav	their
00000187_nohash_0.wav	their
00000122_nohash_0.wav	their
000001ee_nohash_0.wav	their
0000013b_nohash_0.wav	their
000001f4_nohash_0.wav	their
0000022a_nohash_0.wav	their
00000260_nohash_0.wav	their
0000010d_nohash_0.wav	their
00000101_nohash_0.wav	their
00000232_nohash_0.wav	their
00000136_nohash_0.wav	their
0000025c_nohash_0.wav	their
0000011c_nohash_0.wav	their
00000251_nohash_0.wav	their
0000022d_nohash_0.wav	their
0000021c_nohash_0.wav	their
00000231_nohash_0.wav	their
000000fa_nohash_0.wav	their
00000341_nohash_0.wav	than
00000323_nohash_0.wav	than
00000336_nohash_0.wav	than
000002bf_nohash_0.wav	than
000002da_nohash_0.wav	than
00000327_nohash_0.wav	than
000002a2_nohash_0.wav	than
000002d1_nohash_0.wav	than
00000300_nohash_0.wav	than
00000390_nohash_0.wav	than
0000029f_nohash_0.wav	than
00000353_nohash_0.wav	than
0000031b_nohash_0.wav	than
0000035d_nohash_0.wav	than
000002d9_nohash_0.wav	than
00000333_nohash_0.wav	than
00000355_nohash_0.wav	than
000003ac_nohash_0.wav	than
000002d0_nohash_0.wav	than
00000375_nohash_0.wav	than
000002aa_nohash_0.wav	than
000002b9_nohash_0.wav	than
000003a4_nohash_0.wav	than
000003b8_nohash_0.wav	than
00000303_nohash_0.wav	than
00000358_nohash_0.wav	than
0000037e_nohash_0.wav	than
000003ab_nohash_0.wav	than
0000038a_nohash_0.wav	than
000002f8_nohash_0.wav	than
0000036c_nohash_0.wav	than
000002e5_nohash_0.wav	than
0000030a_nohash_0.wav	than
000003de_nohash_0.wav	than
000003cf_nohash_0.wav	than
0000031a_nohash_0.wav	than
00000365_nohash_0.wav	than
000003af_nohash_0.wav	than
0000028c_nohash_0.wav	than
0000039e_nohash_0.wav	than
0000032a_nohash_0.wav	than
00000287_nohash_0.wav	than
000002e6_nohash_0.wav	than
000002f9_nohash_0.wav	than
000002e8_nohash_0.wav	than
000002cd_nohash_0.wav	than
00000313_nohash_0.wav	than
000003b6_nohash_0.wav	than
00000347_nohash_0.wav	than
000003c2_nohash_0.wav	than
000002dd_nohash_0.wav	than
000002b8_nohash_0.wav	than
000002ba_nohash_0.wav	than
00000307_nohash_0.wav	than
00000326_nohash_0.wav	than
00000301_nohash_0.wav	than
000002e0_nohash_0.wav	than
00000306_nohash_0.wav	than
0000037f_nohash_0.wav	than
00000297_nohash_0.wav	than
00000344_nohash_0.wav	than
00000312_nohash_0.wav	than
000003b2_nohash_0.wav	than
0000027f_nohash_0.wav	than
00000325_nohash_0.wav	than
00000296_nohash_0.wav	than
000002a0_nohash_0.wav	than
00000385_nohash_0.wav	than
00000381_nohash_0.wav	than
000002ea_nohash_0.wav	than
000002f3_nohash_0.wav	than
00000441_nohash_0.wav	take
00000401_nohash_0.wav	take
00000458_nohash_0.wav	take
0000042f_nohash_0.wav	take
00000430_nohash_0.wav	take
0000045c_nohash_0.wav	take
000003e5_nohash_0.wav	take
00000432_nohash_0.wav	take
